,index of state,state,value,policy
0,0,"(2, ('1', '1'))",2.0,stop
1,1,"(3, ('1', '0'))",2.0,stop
2,2,"(13, ('0', '1'))",1.0,stop
3,3,"(14, ('1', '0'))",2.0,stop
4,4,"(6, ('1', '1'))",2.0,stop
5,5,"(4, ('1', '1'))",2.0,stop
6,6,"(8, ('1', '1'))",2.0,stop
7,7,"(10, ('2', '0'))",0.7320303972695643,1
8,8,"(1, ('0', '1'))",1.0,stop
9,9,"(0, ('0', '0'))",0.0,0
10,10,"(11, ('0', '0'))",1.4939543650504088,0
11,11,"(12, ('2', '0'))",0.0,0
12,12,"(6, ('1', '0'))",2.0,stop
13,13,"(3, ('0', '1'))",1.3202562468722432,2
14,14,"(14, ('0', '1'))",1.1911370679006266,0
15,15,"(10, ('2', '1'))",1.0,stop
16,16,"(15, ('0', '0'))",0.0,0
17,17,"(12, ('2', '1'))",1.0,stop
18,18,"(11, ('1', '1'))",2.0,stop
19,19,"(12, ('1', '0'))",2.0,stop
20,20,"(0, ('1', '1'))",2.0,stop
21,21,"(2, ('2', '0'))",0.5808996851983277,1
22,22,"(5, ('0', '0'))",0.0,0
23,23,"(15, ('1', '1'))",2.0,stop
24,24,"(6, ('2', '0'))",0.6715391258609034,1
25,25,"(4, ('2', '0'))",0.0,0
26,26,"(7, ('0', '0'))",1.611895225987714,2
27,27,"(2, ('2', '1'))",1.0,stop
28,28,"(8, ('2', '0'))",0.0,0
29,29,"(10, ('0', '1'))",1.5391427183344937,1
30,30,"(6, ('2', '1'))",1.0,stop
31,31,"(9, ('0', '0'))",0.0,0
32,32,"(4, ('2', '1'))",1.0,stop
33,33,"(15, ('1', '0'))",2.0,stop
34,34,"(2, ('1', '0'))",2.0,stop
35,35,"(12, ('0', '1'))",1.0,stop
36,36,"(13, ('0', '0'))",0.0,0
37,37,"(8, ('2', '1'))",1.0,stop
38,38,"(5, ('1', '1'))",2.0,stop
39,39,v_sink,0.0,0
40,40,"(4, ('1', '0'))",2.0,stop
41,41,"(7, ('1', '1'))",2.0,stop
42,42,"(8, ('1', '0'))",2.0,stop
43,43,"(1, ('0', '0'))",0.7650873902612124,1
44,44,"(9, ('1', '1'))",2.0,stop
45,45,"(11, ('2', '0'))",0.7469771825252044,0
46,46,"(0, ('2', '0'))",0.0,0
47,47,"(5, ('1', '0'))",2.0,stop
48,48,"(2, ('0', '1'))",1.1678980724675514,1
49,49,"(3, ('0', '0'))",1.3165211081765416,2
50,50,"(13, ('1', '1'))",2.0,stop
51,51,"(14, ('0', '0'))",0.7905928290511295,0
52,52,"(15, ('2', '0'))",0.0,0
53,53,"(6, ('0', '1'))",1.3596558117354482,1
54,54,"(4, ('0', '1'))",1.0,stop
55,55,"(0, ('2', '1'))",1.0,stop
56,56,"(11, ('2', '1'))",1.0,stop
57,57,"(8, ('0', '1'))",1.0,stop
58,58,"(15, ('2', '1'))",1.0,stop
59,59,"(1, ('1', '1'))",2.0,stop
60,60,"(0, ('1', '0'))",2.0,stop
61,61,"(11, ('1', '0'))",2.0,stop
62,62,"(3, ('1', '1'))",2.0,stop
63,63,"(14, ('1', '1'))",2.0,stop
64,64,"(5, ('2', '0'))",0.0,0
65,65,"(7, ('2', '0'))",0.805947612993857,2
66,66,"(1, ('1', '0'))",2.0,stop
67,67,"(10, ('0', '0'))",1.4640607945391286,1
68,68,"(5, ('2', '1'))",1.0,stop
69,69,"(9, ('2', '0'))",0.0,0
70,70,"(12, ('0', '0'))",0.0,0
71,71,"(11, ('0', '1'))",1.5507961564636934,1
72,72,"(7, ('2', '1'))",1.0,stop
73,73,"(0, ('0', '1'))",1.0,stop
74,74,"(13, ('2', '0'))",0.0,0
75,75,"(15, ('0', '1'))",1.0,stop
76,76,"(9, ('2', '1'))",1.0,stop
77,77,"(7, ('1', '0'))",2.0,stop
78,78,"(13, ('2', '1'))",1.0,stop
79,79,"(10, ('1', '1'))",2.0,stop
80,80,"(1, ('2', '0'))",0.3825436951306062,1
81,81,"(9, ('1', '0'))",2.0,stop
82,82,"(2, ('0', '0'))",1.1617993703966554,1
83,83,"(12, ('1', '1'))",2.0,stop
84,84,"(13, ('1', '0'))",2.0,stop
85,85,"(3, ('2', '0'))",0.6582605540882708,2
86,86,"(14, ('2', '0'))",0.39529641452556474,0
87,87,"(5, ('0', '1'))",1.0,stop
88,88,"(6, ('0', '0'))",1.3430782517218067,1
89,89,"(1, ('2', '1'))",1.0,stop
90,90,"(4, ('0', '0'))",0.0,0
91,91,"(10, ('1', '0'))",2.0,stop
92,92,"(7, ('0', '1'))",1.615534202576074,2
93,93,"(8, ('0', '0'))",0.0,0
94,94,"(3, ('2', '1'))",1.0,stop
95,95,"(14, ('2', '1'))",1.0,stop
96,96,"(9, ('0', '1'))",1.0,stop
